,"GDP Per Capita"
"1960",2999.86
"1961",3059.16
"1962",3236.01
"1963",3366.37
"1964",3565.31
"1965",3818.29
"1966",4136.31
"1967",4325.96
"1968",4684.59
"1969",5020
"1970",5234.3
"1971",5609.38
"1972",6094.02
"1973",6726.36
"1974",7225.69
"1975",7801.46
"1976",8592.25
"1977",9452.58
"1978",10564.95
"1979",11674.18
"1980",12574.79
"1981",13976.11
"1982",14433.79
"1983",15543.89
"1984",17121.23
"1985",18236.83
"1986",19071.23
"1987",20038.94
"1988",21417.01
"1989",22857.15
"1990",23888.6
"1991",24342.26
"1992",25418.99
"1993",26387.29
"1994",27694.85
"1995",28690.88
"1996",29967.71
"1997",31459.13
"1998",32853.67
"1999",34515.38
"2000",36329.97
"2001",37133.62
"2002",37997.74
"2003",39490.3
"2004",41724.64
"2005",44123.4
"2006",46301.99
"2007",48050.23
"2008",48570.06
"2009",47194.95
"2010",48650.66
"2011",50065.98
"2012",51784.41
"2013",53409.75
"2014",55304.32
"2015",57040.21
"2016",58206.61
"2017",60322.26
"2018",63201.05
"2019",65604.68
"2020",64411.37
"2021",71318.31
"2022",78035.18
"2023",82769.41
